2010 Federal Election Senate First Preferences By Polling Place for Division 149 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:34 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,149,Sydney,2866,Flinders (Sydney),N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,149,Sydney,2866,Flinders (Sydney),O,22216,0,O Ticket Votes,Shooters and Fishers,3
NSW,149,Sydney,2866,Flinders (Sydney),O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,0
NSW,149,Sydney,2866,Flinders (Sydney),O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,149,Sydney,2866,Flinders (Sydney),P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,4
NSW,149,Sydney,2866,Flinders (Sydney),P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2866,Flinders (Sydney),P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2866,Flinders (Sydney),Q,22203,0,Q Ticket Votes,Australian Sex Party,19
NSW,149,Sydney,2866,Flinders (Sydney),Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,2
NSW,149,Sydney,2866,Flinders (Sydney),Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,149,Sydney,2866,Flinders (Sydney),Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,1
NSW,149,Sydney,2866,Flinders (Sydney),R,22227,0,R Ticket Votes,,1
NSW,149,Sydney,2866,Flinders (Sydney),R,21993,1,"BARKER, David",,0
NSW,149,Sydney,2866,Flinders (Sydney),R,21994,2,"ZUREIK, S G",,0
NSW,149,Sydney,2866,Flinders (Sydney),S,22204,0,S Ticket Votes,Socialist Equality Party,0
NSW,149,Sydney,2866,Flinders (Sydney),S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,149,Sydney,2866,Flinders (Sydney),S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,149,Sydney,2866,Flinders (Sydney),T,22223,0,T Ticket Votes,,0
NSW,149,Sydney,2866,Flinders (Sydney),T,21908,1,"BOURKE, William",,0
NSW,149,Sydney,2866,Flinders (Sydney),T,21910,2,"O'CONNOR, Mark",,0
NSW,149,Sydney,2866,Flinders (Sydney),U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2866,Flinders (Sydney),U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2866,Flinders (Sydney),U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2866,Flinders (Sydney),V,22209,0,V Ticket Votes,Family First,0
NSW,149,Sydney,2866,Flinders (Sydney),V,21178,1,"SWANE, Greg",Family First,0
NSW,149,Sydney,2866,Flinders (Sydney),V,21182,2,"LAMB, Phil",Family First,0
NSW,149,Sydney,2866,Flinders (Sydney),W,22206,0,W Ticket Votes,Labor,248
NSW,149,Sydney,2866,Flinders (Sydney),W,21012,1,"FAULKNER, John",Labor,6
NSW,149,Sydney,2866,Flinders (Sydney),W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,149,Sydney,2866,Flinders (Sydney),W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,149,Sydney,2866,Flinders (Sydney),W,21020,4,"MURNAIN, Anne",Labor,0
NSW,149,Sydney,2866,Flinders (Sydney),W,21022,5,"SEATON, Fiona",Labor,0
NSW,149,Sydney,2866,Flinders (Sydney),W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,149,Sydney,2866,Flinders (Sydney),X,22231,0,X Ticket Votes,,2
NSW,149,Sydney,2866,Flinders (Sydney),X,21995,1,"STEFANAC, Jennifer",,0
NSW,149,Sydney,2866,Flinders (Sydney),X,21997,2,"COOLEY, Tucky Tania",,0
NSW,149,Sydney,2866,Flinders (Sydney),Y,22228,0,Y Ticket Votes,Carers Alliance,0
NSW,149,Sydney,2866,Flinders (Sydney),Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,149,Sydney,2866,Flinders (Sydney),Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,149,Sydney,2866,Flinders (Sydney),Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2866,Flinders (Sydney),Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2866,Flinders (Sydney),Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2866,Flinders (Sydney),Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2866,Flinders (Sydney),AA,22210,0,AA Ticket Votes,Liberal/Nationals,173
NSW,149,Sydney,2866,Flinders (Sydney),AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,3
NSW,149,Sydney,2866,Flinders (Sydney),AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,149,Sydney,2866,Flinders (Sydney),AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,149,Sydney,2866,Flinders (Sydney),AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,149,Sydney,2866,Flinders (Sydney),AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,149,Sydney,2866,Flinders (Sydney),AA,21776,6,"BILIC, George",Liberal,0
NSW,149,Sydney,2866,Flinders (Sydney),AB,22221,0,AB Ticket Votes,,0
NSW,149,Sydney,2866,Flinders (Sydney),AB,21901,1,"ECKFORD, Michael",,0
NSW,149,Sydney,2866,Flinders (Sydney),AB,21902,2,"STEVENS, Criselee",,0
NSW,149,Sydney,2866,Flinders (Sydney),AC,22225,0,AC Ticket Votes,One Nation,1
NSW,149,Sydney,2866,Flinders (Sydney),AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,149,Sydney,2866,Flinders (Sydney),AC,21827,2,"BRETT, John",One Nation,0
NSW,149,Sydney,2866,Flinders (Sydney),AD,22208,0,AD Ticket Votes,The Greens,230
NSW,149,Sydney,2866,Flinders (Sydney),AD,21147,1,"RHIANNON, Lee",The Greens,19
NSW,149,Sydney,2866,Flinders (Sydney),AD,21677,2,"McILROY, Keith",The Greens,0
NSW,149,Sydney,2866,Flinders (Sydney),AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,149,Sydney,2866,Flinders (Sydney),AD,21160,4,"SWIFT, Harriett",The Greens,2
NSW,149,Sydney,2866,Flinders (Sydney),AD,21163,5,"MORRISSEY, Simone",The Greens,1
NSW,149,Sydney,2866,Flinders (Sydney),AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,149,Sydney,2866,Flinders (Sydney),AE,22234,0,AE Ticket Votes,,7
NSW,149,Sydney,2866,Flinders (Sydney),AE,22202,1,"KERNOT, Cheryl",,2
NSW,149,Sydney,2866,Flinders (Sydney),AE,22201,2,"CANT, Simon",,0
NSW,149,Sydney,2866,Flinders (Sydney),AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),15
NSW,149,Sydney,2866,Flinders (Sydney),AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),1
NSW,149,Sydney,2866,Flinders (Sydney),AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,149,Sydney,2866,Flinders (Sydney),AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,149,Sydney,2866,Flinders (Sydney),UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,149,Sydney,2866,Flinders (Sydney),UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,149,Sydney,2866,Flinders (Sydney),UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,149,Sydney,2866,Flinders (Sydney),UG,21268,4,"PAPE, Bryan",Independent,0
NSW,149,Sydney,2866,Flinders (Sydney),UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,149,Sydney,2866,Flinders (Sydney),ZZ,0,99,INFORMAL,,26
NSW,149,Sydney,2869,Hyde Park,A,22214,0,A Ticket Votes,Socialist Alliance,2
NSW,149,Sydney,2869,Hyde Park,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,149,Sydney,2869,Hyde Park,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,149,Sydney,2869,Hyde Park,B,22230,0,B Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,B,22023,1,"HODGES, Robert",,0
NSW,149,Sydney,2869,Hyde Park,B,22024,2,"FRIER, Bob",,0
NSW,149,Sydney,2869,Hyde Park,C,22224,0,C Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,C,21904,1,"ROBINSON, Tony",,0
NSW,149,Sydney,2869,Hyde Park,C,21907,2,"SELBY, Noel",,0
NSW,149,Sydney,2869,Hyde Park,D,22215,0,D Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,D,21429,1,"HODGES, Darrin",,0
NSW,149,Sydney,2869,Hyde Park,D,21430,2,"FOLKES, Nick",,0
NSW,149,Sydney,2869,Hyde Park,E,22220,0,E Ticket Votes,Building Australia,0
NSW,149,Sydney,2869,Hyde Park,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,149,Sydney,2869,Hyde Park,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,149,Sydney,2869,Hyde Park,F,22212,0,F Ticket Votes,Senator On-Line,1
NSW,149,Sydney,2869,Hyde Park,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,149,Sydney,2869,Hyde Park,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,149,Sydney,2869,Hyde Park,G,22222,0,G Ticket Votes,Communist,0
NSW,149,Sydney,2869,Hyde Park,G,21787,1,"LAWLER, Geoff",Communist,1
NSW,149,Sydney,2869,Hyde Park,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,149,Sydney,2869,Hyde Park,H,22233,0,H Ticket Votes,,1
NSW,149,Sydney,2869,Hyde Park,H,22021,1,"BLOOM, Nadia",,0
NSW,149,Sydney,2869,Hyde Park,H,22022,2,"IRELAND, Bede",,0
NSW,149,Sydney,2869,Hyde Park,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,1
NSW,149,Sydney,2869,Hyde Park,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,149,Sydney,2869,Hyde Park,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,149,Sydney,2869,Hyde Park,J,22219,0,J Ticket Votes,Australian Democrats,11
NSW,149,Sydney,2869,Hyde Park,J,21733,1,"CLANCY, Fiona",Australian Democrats,2
NSW,149,Sydney,2869,Hyde Park,J,21736,2,"MITCHELL, Jen",Australian Democrats,1
NSW,149,Sydney,2869,Hyde Park,K,22218,0,K Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,K,21714,1,"SAMPSON, Meg",,0
NSW,149,Sydney,2869,Hyde Park,K,21718,2,"HINCHCLIFFE, J",,0
NSW,149,Sydney,2869,Hyde Park,L,22232,0,L Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,149,Sydney,2869,Hyde Park,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,149,Sydney,2869,Hyde Park,M,22207,0,M Ticket Votes,The Climate Sceptics,3
NSW,149,Sydney,2869,Hyde Park,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,149,Sydney,2869,Hyde Park,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,149,Sydney,2869,Hyde Park,N,22213,0,N Ticket Votes,Secular Party of Australia,2
NSW,149,Sydney,2869,Hyde Park,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,149,Sydney,2869,Hyde Park,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,149,Sydney,2869,Hyde Park,O,22216,0,O Ticket Votes,Shooters and Fishers,0
NSW,149,Sydney,2869,Hyde Park,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,3
NSW,149,Sydney,2869,Hyde Park,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,149,Sydney,2869,Hyde Park,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,3
NSW,149,Sydney,2869,Hyde Park,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2869,Hyde Park,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2869,Hyde Park,Q,22203,0,Q Ticket Votes,Australian Sex Party,19
NSW,149,Sydney,2869,Hyde Park,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,0
NSW,149,Sydney,2869,Hyde Park,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,149,Sydney,2869,Hyde Park,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,149,Sydney,2869,Hyde Park,R,22227,0,R Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,R,21993,1,"BARKER, David",,0
NSW,149,Sydney,2869,Hyde Park,R,21994,2,"ZUREIK, S G",,0
NSW,149,Sydney,2869,Hyde Park,S,22204,0,S Ticket Votes,Socialist Equality Party,2
NSW,149,Sydney,2869,Hyde Park,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,149,Sydney,2869,Hyde Park,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,149,Sydney,2869,Hyde Park,T,22223,0,T Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,T,21908,1,"BOURKE, William",,0
NSW,149,Sydney,2869,Hyde Park,T,21910,2,"O'CONNOR, Mark",,0
NSW,149,Sydney,2869,Hyde Park,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2869,Hyde Park,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2869,Hyde Park,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2869,Hyde Park,V,22209,0,V Ticket Votes,Family First,3
NSW,149,Sydney,2869,Hyde Park,V,21178,1,"SWANE, Greg",Family First,0
NSW,149,Sydney,2869,Hyde Park,V,21182,2,"LAMB, Phil",Family First,0
NSW,149,Sydney,2869,Hyde Park,W,22206,0,W Ticket Votes,Labor,195
NSW,149,Sydney,2869,Hyde Park,W,21012,1,"FAULKNER, John",Labor,4
NSW,149,Sydney,2869,Hyde Park,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,149,Sydney,2869,Hyde Park,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,149,Sydney,2869,Hyde Park,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,149,Sydney,2869,Hyde Park,W,21022,5,"SEATON, Fiona",Labor,0
NSW,149,Sydney,2869,Hyde Park,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,149,Sydney,2869,Hyde Park,X,22231,0,X Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,X,21995,1,"STEFANAC, Jennifer",,0
NSW,149,Sydney,2869,Hyde Park,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,149,Sydney,2869,Hyde Park,Y,22228,0,Y Ticket Votes,Carers Alliance,0
NSW,149,Sydney,2869,Hyde Park,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,149,Sydney,2869,Hyde Park,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,149,Sydney,2869,Hyde Park,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2869,Hyde Park,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2869,Hyde Park,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2869,Hyde Park,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2869,Hyde Park,AA,22210,0,AA Ticket Votes,Liberal/Nationals,169
NSW,149,Sydney,2869,Hyde Park,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,6
NSW,149,Sydney,2869,Hyde Park,AA,21766,2,"HEFFERNAN, William",Liberal,2
NSW,149,Sydney,2869,Hyde Park,AA,21768,3,"NASH, Fiona",The Nationals,1
NSW,149,Sydney,2869,Hyde Park,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,149,Sydney,2869,Hyde Park,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,149,Sydney,2869,Hyde Park,AA,21776,6,"BILIC, George",Liberal,0
NSW,149,Sydney,2869,Hyde Park,AB,22221,0,AB Ticket Votes,,0
NSW,149,Sydney,2869,Hyde Park,AB,21901,1,"ECKFORD, Michael",,0
NSW,149,Sydney,2869,Hyde Park,AB,21902,2,"STEVENS, Criselee",,0
NSW,149,Sydney,2869,Hyde Park,AC,22225,0,AC Ticket Votes,One Nation,1
NSW,149,Sydney,2869,Hyde Park,AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,149,Sydney,2869,Hyde Park,AC,21827,2,"BRETT, John",One Nation,0
NSW,149,Sydney,2869,Hyde Park,AD,22208,0,AD Ticket Votes,The Greens,172
NSW,149,Sydney,2869,Hyde Park,AD,21147,1,"RHIANNON, Lee",The Greens,13
NSW,149,Sydney,2869,Hyde Park,AD,21677,2,"McILROY, Keith",The Greens,1
NSW,149,Sydney,2869,Hyde Park,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,149,Sydney,2869,Hyde Park,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,149,Sydney,2869,Hyde Park,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,149,Sydney,2869,Hyde Park,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,149,Sydney,2869,Hyde Park,AE,22234,0,AE Ticket Votes,,1
NSW,149,Sydney,2869,Hyde Park,AE,22202,1,"KERNOT, Cheryl",,2
NSW,149,Sydney,2869,Hyde Park,AE,22201,2,"CANT, Simon",,0
NSW,149,Sydney,2869,Hyde Park,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),8
NSW,149,Sydney,2869,Hyde Park,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),1
NSW,149,Sydney,2869,Hyde Park,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,149,Sydney,2869,Hyde Park,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,149,Sydney,2869,Hyde Park,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,149,Sydney,2869,Hyde Park,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,149,Sydney,2869,Hyde Park,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,149,Sydney,2869,Hyde Park,UG,21268,4,"PAPE, Bryan",Independent,1
NSW,149,Sydney,2869,Hyde Park,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,149,Sydney,2869,Hyde Park,ZZ,0,99,INFORMAL,,14
NSW,149,Sydney,2879,Redfern East,A,22214,0,A Ticket Votes,Socialist Alliance,10
NSW,149,Sydney,2879,Redfern East,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,149,Sydney,2879,Redfern East,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,149,Sydney,2879,Redfern East,B,22230,0,B Ticket Votes,,1
NSW,149,Sydney,2879,Redfern East,B,22023,1,"HODGES, Robert",,0
NSW,149,Sydney,2879,Redfern East,B,22024,2,"FRIER, Bob",,0
NSW,149,Sydney,2879,Redfern East,C,22224,0,C Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,C,21904,1,"ROBINSON, Tony",,0
NSW,149,Sydney,2879,Redfern East,C,21907,2,"SELBY, Noel",,0
NSW,149,Sydney,2879,Redfern East,D,22215,0,D Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,D,21429,1,"HODGES, Darrin",,0
NSW,149,Sydney,2879,Redfern East,D,21430,2,"FOLKES, Nick",,0
NSW,149,Sydney,2879,Redfern East,E,22220,0,E Ticket Votes,Building Australia,3
NSW,149,Sydney,2879,Redfern East,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,149,Sydney,2879,Redfern East,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,149,Sydney,2879,Redfern East,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,149,Sydney,2879,Redfern East,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,149,Sydney,2879,Redfern East,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,149,Sydney,2879,Redfern East,G,22222,0,G Ticket Votes,Communist,11
NSW,149,Sydney,2879,Redfern East,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,149,Sydney,2879,Redfern East,G,21789,2,"KELLAWAY, Brenda Anne",Communist,1
NSW,149,Sydney,2879,Redfern East,H,22233,0,H Ticket Votes,,2
NSW,149,Sydney,2879,Redfern East,H,22021,1,"BLOOM, Nadia",,0
NSW,149,Sydney,2879,Redfern East,H,22022,2,"IRELAND, Bede",,0
NSW,149,Sydney,2879,Redfern East,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,11
NSW,149,Sydney,2879,Redfern East,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,149,Sydney,2879,Redfern East,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,149,Sydney,2879,Redfern East,J,22219,0,J Ticket Votes,Australian Democrats,7
NSW,149,Sydney,2879,Redfern East,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,149,Sydney,2879,Redfern East,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,149,Sydney,2879,Redfern East,K,22218,0,K Ticket Votes,,1
NSW,149,Sydney,2879,Redfern East,K,21714,1,"SAMPSON, Meg",,0
NSW,149,Sydney,2879,Redfern East,K,21718,2,"HINCHCLIFFE, J",,0
NSW,149,Sydney,2879,Redfern East,L,22232,0,L Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,149,Sydney,2879,Redfern East,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,149,Sydney,2879,Redfern East,M,22207,0,M Ticket Votes,The Climate Sceptics,7
NSW,149,Sydney,2879,Redfern East,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,1
NSW,149,Sydney,2879,Redfern East,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,149,Sydney,2879,Redfern East,N,22213,0,N Ticket Votes,Secular Party of Australia,1
NSW,149,Sydney,2879,Redfern East,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,149,Sydney,2879,Redfern East,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,149,Sydney,2879,Redfern East,O,22216,0,O Ticket Votes,Shooters and Fishers,7
NSW,149,Sydney,2879,Redfern East,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,0
NSW,149,Sydney,2879,Redfern East,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,149,Sydney,2879,Redfern East,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,16
NSW,149,Sydney,2879,Redfern East,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2879,Redfern East,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,149,Sydney,2879,Redfern East,Q,22203,0,Q Ticket Votes,Australian Sex Party,32
NSW,149,Sydney,2879,Redfern East,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,5
NSW,149,Sydney,2879,Redfern East,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,149,Sydney,2879,Redfern East,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,149,Sydney,2879,Redfern East,R,22227,0,R Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,R,21993,1,"BARKER, David",,0
NSW,149,Sydney,2879,Redfern East,R,21994,2,"ZUREIK, S G",,0
NSW,149,Sydney,2879,Redfern East,S,22204,0,S Ticket Votes,Socialist Equality Party,2
NSW,149,Sydney,2879,Redfern East,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,149,Sydney,2879,Redfern East,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,149,Sydney,2879,Redfern East,T,22223,0,T Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,T,21908,1,"BOURKE, William",,0
NSW,149,Sydney,2879,Redfern East,T,21910,2,"O'CONNOR, Mark",,0
NSW,149,Sydney,2879,Redfern East,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,149,Sydney,2879,Redfern East,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2879,Redfern East,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,149,Sydney,2879,Redfern East,V,22209,0,V Ticket Votes,Family First,4
NSW,149,Sydney,2879,Redfern East,V,21178,1,"SWANE, Greg",Family First,0
NSW,149,Sydney,2879,Redfern East,V,21182,2,"LAMB, Phil",Family First,0
NSW,149,Sydney,2879,Redfern East,W,22206,0,W Ticket Votes,Labor,743
NSW,149,Sydney,2879,Redfern East,W,21012,1,"FAULKNER, John",Labor,8
NSW,149,Sydney,2879,Redfern East,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,149,Sydney,2879,Redfern East,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,149,Sydney,2879,Redfern East,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,149,Sydney,2879,Redfern East,W,21022,5,"SEATON, Fiona",Labor,0
NSW,149,Sydney,2879,Redfern East,W,21025,6,"McDERMOTT, Hugh",Labor,1
NSW,149,Sydney,2879,Redfern East,X,22231,0,X Ticket Votes,,0
NSW,149,Sydney,2879,Redfern East,X,21995,1,"STEFANAC, Jennifer",,0
NSW,149,Sydney,2879,Redfern East,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,149,Sydney,2879,Redfern East,Y,22228,0,Y Ticket Votes,Carers Alliance,2
NSW,149,Sydney,2879,Redfern East,Y,21984,1,"CARTER, Marylou",Carers Alliance,0
NSW,149,Sydney,2879,Redfern East,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,149,Sydney,2879,Redfern East,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),11
NSW,149,Sydney,2879,Redfern East,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),1
NSW,149,Sydney,2879,Redfern East,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2879,Redfern East,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,149,Sydney,2879,Redfern East,AA,22210,0,AA Ticket Votes,Liberal/Nationals,387
NSW,149,Sydney,2879,Redfern East,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,4
